sample_index,timestamp_rel_s,timestamp_utc_iso,participant_id,session_id,task_id,trial_id,condition,combined_valid,combined_origin_x,combined_origin_y,combined_origin_z,combined_dir_x,combined_dir_y,combined_dir_z,vergence_angle_deg,interocular_distance,left_valid,left_origin_x,left_origin_y,left_origin_z,left_dir_x,left_dir_y,left_dir_z,right_valid,right_origin_x,right_origin_y,right_origin_z,right_dir_x,right_dir_y,right_dir_z,left_pupil_diameter,right_pupil_diameter,left_pupil_pos_x,left_pupil_pos_y,right_pupil_pos_x,right_pupil_pos_y,left_eye_openness,right_eye_openness,head_x,head_y,head_z,head_qx,head_qy,head_qz,head_qw,hit_valid,hit_object_name,hit_aoi,hit_aoi_type,hit_x,hit_y,hit_z
1,4.88908240000001,"2026-04-22T16:39:23.5905841Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,1.36144,-0.7,0,0,0,1,0,,,,,,
2,5.565921,"2026-04-22T16:39:24.2371915Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
3,5.5863231,"2026-04-22T16:39:24.2575295Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03036972,1.550579,-0.7737905,0.116231,-0.1165973,0.01418885,0.9862525,0,,,,,,
4,5.5999338,"2026-04-22T16:39:24.2710461Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03064209,1.550976,-0.7736827,0.1141363,-0.1175687,0.01397915,0.9863849,0,,,,,,
5,5.6265068,"2026-04-22T16:39:24.2975414Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03110619,1.55196,-0.7734796,0.1119327,-0.1179231,0.01490248,0.9865815,0,,,,,,
6,5.63736160000001,"2026-04-22T16:39:24.3085302Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03114519,1.552176,-0.7733982,0.1118733,-0.1172234,0.01478129,0.9866735,0,,,,,,
7,5.6474348,"2026-04-22T16:39:24.3184113Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03113342,1.552444,-0.7732127,0.1113655,-0.1164101,0.01427136,0.9868347,0,,,,,,
8,5.6584153,"2026-04-22T16:39:24.3293747Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03112583,1.552782,-0.7729192,0.1104624,-0.1155285,0.01360863,0.9870492,0,,,,,,
9,5.66928559999999,"2026-04-22T16:39:24.3408481Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03113934,1.553113,-0.7725766,0.1087221,-0.1153618,0.01309924,0.9872687,0,,,,,,
10,5.6803728,"2026-04-22T16:39:24.3512511Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03116532,1.553535,-0.7722677,0.106566,-0.1150482,0.01289914,0.987543,0,,,,,,
11,5.6916147,"2026-04-22T16:39:24.3626452Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03127657,1.55389,-0.7720129,0.104599,-0.1152917,0.01436257,0.9877047,0,,,,,,
12,5.7025423,"2026-04-22T16:39:24.3735513Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03143112,1.554137,-0.7718167,0.1033195,-0.1159716,0.01543191,0.9877437,0,,,,,,
13,5.7137113,"2026-04-22T16:39:24.3850588Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03176283,1.554392,-0.7715548,0.102401,-0.1166513,0.01645129,0.9877428,0,,,,,,
14,5.7249661,"2026-04-22T16:39:24.3959448Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03187683,1.554531,-0.7713064,0.1007048,-0.1184612,0.01709079,0.9876909,0,,,,,,
15,5.7357524,"2026-04-22T16:39:24.4068211Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03200846,1.554631,-0.7711354,0.1005879,-0.1187377,0.01827721,0.9876484,0,,,,,,
16,5.74666140000001,"2026-04-22T16:39:24.4177793Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03211388,1.554672,-0.7709417,0.10023,-0.119326,0.0190654,0.987599,0,,,,,,
17,5.7584176,"2026-04-22T16:39:24.4293105Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03215595,1.554678,-0.7707909,0.1006256,-0.1195793,0.02000283,0.9875096,0,,,,,,
18,5.76910340000001,"2026-04-22T16:39:24.4402245Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03213648,1.554606,-0.7706712,0.1016687,-0.1193481,0.0202661,0.9874253,0,,,,,,
19,5.779948,"2026-04-22T16:39:24.4517245Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03195075,1.554388,-0.7706124,0.1039458,-0.1186752,0.02063359,0.9872618,0,,,,,,
20,5.79160419999999,"2026-04-22T16:39:24.4626572Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03182686,1.55412,-0.7704914,0.1059932,-0.1177914,0.01961174,0.9871707,0,,,,,,
21,5.80269440000001,"2026-04-22T16:39:24.4736133Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03172029,1.553918,-0.7702814,0.10717,-0.1171536,0.01844788,0.987142,0,,,,,,
22,5.8140631,"2026-04-22T16:39:24.4850546Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.0315068,1.553745,-0.7699749,0.1072853,-0.1164929,0.01754548,0.9872241,0,,,,,,
23,5.8245926,"2026-04-22T16:39:24.4954329Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03122094,1.553682,-0.7695789,0.1068794,-0.115825,0.01693868,0.9873573,0,,,,,,
24,5.83548280000001,"2026-04-22T16:39:24.5064137Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03089934,1.553679,-0.7691997,0.1065786,-0.1148931,0.01756059,0.9874879,0,,,,,,
25,5.8466822,"2026-04-22T16:39:24.5178264Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03060353,1.553557,-0.7688657,0.1068628,-0.1140799,0.01797855,0.9875439,0,,,,,,
26,5.8579598,"2026-04-22T16:39:24.5288033Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03036984,1.553454,-0.7685081,0.1071626,-0.1132197,0.01793076,0.9876112,0,,,,,,
27,5.8689931,"2026-04-22T16:39:24.5398867Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.03018412,1.553399,-0.7682074,0.1069097,-0.1123717,0.01794286,0.9877353,0,,,,,,
28,5.88098189999999,"2026-04-22T16:39:24.5518663Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02987069,1.55338,-0.7679017,0.1067725,-0.111352,0.01834685,0.9878582,0,,,,,,
29,5.8915499,"2026-04-22T16:39:24.5623769Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02949633,1.553382,-0.7676372,0.1071237,-0.109807,0.01922886,0.9879763,0,,,,,,
30,5.90315220000001,"2026-04-22T16:39:24.5744335Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02904106,1.553242,-0.7674628,0.1088602,-0.1080465,0.01999824,0.9879653,0,,,,,,
31,5.91409729999999,"2026-04-22T16:39:24.5853848Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02852396,1.552887,-0.767319,0.1114899,-0.1062747,0.01984471,0.9878674,0,,,,,,
32,5.924482,"2026-04-22T16:39:24.5952677Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02818186,1.55257,-0.7671562,0.1131187,-0.1050236,0.01892263,0.9878341,0,,,,,,
33,5.9355319,"2026-04-22T16:39:24.6062579Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02771787,1.552212,-0.7669404,0.1151002,-0.1038979,0.01846162,0.9877329,0,,,,,,
34,5.94666910000001,"2026-04-22T16:39:24.6178091Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02724547,1.551933,-0.7666593,0.1168162,-0.1023837,0.01776823,0.9877024,0,,,,,,
35,5.95781940000001,"2026-04-22T16:39:24.6287956Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02674692,1.551691,-0.7662436,0.1181718,-0.1006089,0.01639562,0.9877471,0,,,,,,
36,5.9692495,"2026-04-22T16:39:24.6402672Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02621264,1.55153,-0.7657755,0.1193392,-0.09855138,0.01544842,0.9878295,0,,,,,,
37,5.9802739,"2026-04-22T16:39:24.6512929Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.0255658,1.551307,-0.7653174,0.1207006,-0.09623159,0.01452594,0.9879068,0,,,,,,
38,5.9911015,"2026-04-22T16:39:24.6623271Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02507219,1.551033,-0.7649162,0.1223891,-0.09419458,0.0136783,0.9879075,0,,,,,,
39,6.00240119999999,"2026-04-22T16:39:24.6733877Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02465605,1.550754,-0.764536,0.1238997,-0.09241075,0.01249749,0.9879033,0,,,,,,
40,6.0138439,"2026-04-22T16:39:24.6849049Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02424991,1.550525,-0.7641483,0.1250996,-0.09111501,0.01194965,0.9878792,0,,,,,,
41,6.0256148,"2026-04-22T16:39:24.6968893Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02393023,1.550407,-0.7638164,0.1260138,-0.08995634,0.0112676,0.9878772,0,,,,,,
42,6.03564970000001,"2026-04-22T16:39:24.7069083Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02362688,1.55034,-0.7634827,0.126569,-0.08881581,0.0111553,0.9879107,0,,,,,,
43,6.0466218,"2026-04-22T16:39:24.7173983Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02336995,1.55031,-0.7631899,0.1271477,-0.08835997,0.0115936,0.9878722,0,,,,,,
44,6.0584193,"2026-04-22T16:39:24.7294942Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02332771,1.550323,-0.762948,0.1275441,-0.08910984,0.01205895,0.9877483,0,,,,,,
45,6.06930250000001,"2026-04-22T16:39:24.7405118Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02358706,1.550368,-0.7627483,0.1277968,-0.09049844,0.01274253,0.9875807,0,,,,,,
46,6.0803159,"2026-04-22T16:39:24.7510320Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02401368,1.550506,-0.7625239,0.1276663,-0.09219348,0.01316268,0.9874353,0,,,,,,
47,6.0911961,"2026-04-22T16:39:24.7619145Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.02448599,1.550716,-0.7623762,0.1270545,-0.09398325,0.01396573,0.9873344,0,,,,,,
