Sample Rate:	500.000000
Time (s)	MWMOBILE1_ECG	MWMOBILE1_Z0	MWMOBILE1_dZ/dt	MWMOBILE1_EDA
0.000000	0.001992	6.875959	0.076435	36.263234
0.002000	0.001984	6.875702	0.082795	36.262796
0.004000	0.001991	6.875362	0.087576	36.262796
0.006000	0.001987	6.875015	0.093912	36.262650
0.008000	0.001975	6.874603	0.104118	36.262446
0.010000	0.001980	6.874299	0.111625	36.262563
0.012000	0.001972	6.874187	0.110757	36.262300
0.014000	0.001970	6.874118	0.103207	36.262096
0.016000	0.001974	6.874067	0.091932	36.262271
0.018000	0.001978	6.874020	0.081730	36.262417
0.020000	0.001983	6.874006	0.071914	36.261629
0.022000	0.001979	6.873933	0.063565	36.261220
0.024000	0.001971	6.873883	0.055243	36.261103
0.026000	0.001967	6.873980	0.045179	36.261016
0.028000	0.001972	6.873970	0.036967	36.260987
0.030000	0.001973	6.873915	0.033400	36.261337
0.032000	0.001963	6.873973	0.025888	36.261279
0.034000	0.001954	6.874208	0.012722	36.260315
0.036000	0.001949	6.874382	-0.001263	36.260169
0.038000	0.001956	6.874317	-0.006422	36.260169
0.040000	0.001961	6.874371	-0.006788	36.259469
0.042000	0.001958	6.874830	-0.019571	36.259352
0.044000	0.001959	6.875348	-0.044321	36.259060
0.046000	0.001953	6.875670	-0.063190	36.258973
0.048000	0.001953	6.875955	-0.076482	36.258798
0.050000	0.001952	6.876212	-0.087254	36.258126
0.052000	0.001942	6.876523	-0.093942	36.258243
0.054000	0.001932	6.876997	-0.102933	36.258331
0.056000	0.001936	6.877391	-0.114240	36.258272
0.058000	0.001938	6.877677	-0.121460	36.257747
0.060000	0.001936	6.877858	-0.118833	36.257747
0.062000	0.001934	6.878382	-0.121566	36.257747
0.064000	0.001936	6.879109	-0.142627	36.257193
0.066000	0.001932	6.879435	-0.157612	36.256871
0.068000	0.001924	6.880111	-0.165774	36.256521
0.070000	0.001924	6.880896	-0.185114	36.256726
0.072000	0.001916	6.881381	-0.197915	36.256492
0.074000	0.001921	6.881840	-0.203536	36.256317
0.076000	0.001928	6.882292	-0.204611	36.255996
0.078000	0.001930	6.882730	-0.201783	36.255500
0.080000	0.001924	6.883301	-0.203013	36.255354
0.082000	0.001917	6.883949	-0.210895	36.255266
0.084000	0.001910	6.884383	-0.215885	36.254507
0.086000	0.001908	6.884698	-0.211760	36.254157
0.088000	0.001911	6.885218	-0.208372	36.253749
0.090000	0.001910	6.885866	-0.213194	36.253574
0.092000	0.001903	6.886322	-0.216016	36.253574
0.094000	0.001903	6.886781	-0.214306	36.253223
0.096000	0.001904	6.887154	-0.211374	36.253136
0.098000	0.001907	6.887483	-0.205145	36.252202
0.100000	0.001902	6.887732	-0.192843	36.251968
0.102000	0.001891	6.888061	-0.183584	36.251852
0.104000	0.001891	6.888405	-0.177610	36.251443
0.106000	0.001894	6.888948	-0.176617	36.251472
0.108000	0.001889	6.889385	-0.180473	36.251268
0.110000	0.001889	6.889570	-0.176679	36.251034
0.112000	0.001885	6.889736	-0.165221	36.250538
0.114000	0.001879	6.889913	-0.152563	36.250626
0.116000	0.001877	6.890246	-0.143614	36.250626
0.118000	0.001884	6.890727	-0.143860	36.250246
0.120000	0.001886	6.890998	-0.145740	36.250042
0.122000	0.001889	6.891219	-0.143944	36.249429
0.124000	0.001891	6.891324	-0.137585	36.249108
0.126000	0.001889	6.891432	-0.127745	36.248991
0.128000	0.001885	6.891736	-0.119694	36.248962
0.130000	0.001886	6.892196	-0.121622	36.248203
0.132000	0.001881	6.892366	-0.123939	36.247766
0.134000	0.001873	6.892684	-0.121807	36.248057
0.136000	0.001883	6.892970	-0.122513	36.248116
0.138000	0.001880	6.893118	-0.118625	36.247328
0.140000	0.001879	6.893161	-0.109732	36.247007
0.142000	0.001882	6.893270	-0.099390	36.246657
0.144000	0.001876	6.893483	-0.095834	36.246598
0.146000	0.001873	6.893610	-0.093272	36.246598
0.148000	0.001872	6.893809	-0.090078	36.246073
0.150000	0.001875	6.893961	-0.087319	36.245723
0.152000	0.001873	6.894062	-0.082646	36.245256
0.154000	0.001874	6.894138	-0.076705	36.245547
0.156000	0.001890	6.894189	-0.070965	36.245489
0.158000	0.001884	6.894290	-0.067007	36.244935
0.160000	0.001872	6.894380	-0.063997	36.244438
0.162000	0.001872	6.894315	-0.057517	36.244614
0.164000	0.001873	6.894391	-0.049199	36.244001
0.166000	0.001872	6.894521	-0.046793	36.244176
0.168000	0.001876	6.894514	-0.044185	36.244322
0.170000	0.001881	6.894463	-0.036931	36.243446
0.172000	0.001880	6.894301	-0.027367	36.243329
0.174000	0.001875	6.894232	-0.017092	36.243446
0.176000	0.001876	6.894297	-0.014139	36.243534
0.178000	0.001876	6.894225	-0.013723	36.242979
0.180000	0.001868	6.893990	-0.004236	36.242279
0.182000	0.001867	6.893845	0.007784	36.242250
0.184000	0.001865	6.893642	0.017537	36.242250
0.186000	0.001865	6.893505	0.026446	36.241987
0.188000	0.001867	6.893592	0.026171	36.241607
0.190000	0.001866	6.893491	0.021238	36.240995
0.192000	0.001864	6.893125	0.030275	36.240586
0.194000	0.001866	6.892876	0.045118	36.241024
0.196000	0.001866	6.892861	0.047770	36.240819
0.198000	0.001870	6.892774	0.043171	36.240382
0.200000	0.001880	6.892626	0.042370	36.240382
0.202000	0.001880	6.892311	0.050852	36.239564
0.204000	0.001880	6.892000	0.062882	36.239535
0.206000	0.001875	6.891885	0.067980	36.239360
0.208000	0.001863	6.891942	0.060527	36.238660
0.210000	0.001862	6.891733	0.054750	36.238339
0.212000	0.001866	6.891472	0.058569	36.238105
0.214000	0.001862	6.891414	0.061748	36.237697
0.216000	0.001862	6.891147	0.064211	36.237551
0.218000	0.001864	6.890951	0.068167	36.237317
0.220000	0.001858	6.890677	0.071569	36.236938
0.222000	0.001856	6.890387	0.078106	36.236704
0.224000	0.001858	6.890326	0.078376	36.236354
0.226000	0.001865	6.890315	0.069767	36.236237
0.228000	0.001858	6.890268	0.059982	36.236471
0.230000	0.001848	6.889997	0.057785	36.235829
0.232000	0.001850	6.889599	0.067423	36.235624
0.234000	0.001865	6.889588	0.073186	36.235274
0.236000	0.001871	6.889624	0.066052	36.234486
0.238000	0.001868	6.889624	0.055128	36.234603
0.240000	0.001865	6.889526	0.047629	36.234749
0.242000	0.001866	6.889429	0.045888	36.234223
0.244000	0.001860	6.889179	0.049342	36.233757
0.246000	0.001858	6.889067	0.050636	36.233757
0.248000	0.001852	6.889056	0.046376	36.233319
0.250000	0.001849	6.888893	0.044592	36.232531
0.252000	0.001851	6.888738	0.044951	36.232356
0.254000	0.001857	6.888749	0.042833	36.232356
0.256000	0.001860	6.888539	0.044336	36.232210
0.258000	0.001859	6.888304	0.051131	36.231918
0.260000	0.001868	6.888098	0.056346	36.231597
0.262000	0.001870	6.887852	0.061852	36.231392
0.264000	0.001865	6.887718	0.065216	36.231480
0.266000	0.001855	6.887682	0.063566	36.230634
0.268000	0.001852	6.887508	0.062021	36.230400
0.270000	0.001851	6.887360	0.061966	36.230371
0.272000	0.001848	6.887327	0.058916	36.229816
0.274000	0.001857	6.887428	0.049708	36.229349
0.276000	0.001859	6.887352	0.040000	36.229058
0.278000	0.001850	6.887063	0.041603	36.228999
0.280000	0.001863	6.886864	0.049551	36.228941
0.282000	0.001880	6.886835	0.050237	36.228416
0.284000	0.001889	6.886922	0.041993	36.227773
0.286000	0.001904	6.886951	0.032354	36.227628
0.288000	0.001928	6.886955	0.025005	36.227569
0.290000	0.001944	6.886774	0.023563	36.227306
0.292000	0.001947	6.886633	0.028363	36.227365
0.294000	0.001947	6.886416	0.034232	36.227073
0.296000	0.001941	6.886166	0.042461	36.227015
0.298000	0.001943	6.885964	0.050008	36.226810
0.300000	0.001951	6.885873	0.053862	36.226460
0.302000	0.001957	6.885964	0.047629	36.225497
0.304000	0.001961	6.886061	0.036184	36.225234
0.306000	0.001962	6.886112	0.025222	36.224563
0.308000	0.001961	6.886061	0.019582	36.224359
0.310000	0.001965	6.886108	0.016735	36.224621
0.312000	0.001992	6.886130	0.013404	36.224242
0.314000	0.002017	6.886040	0.012730	36.223921
0.316000	0.002032	6.885779	0.017988	36.223571
0.318000	0.002052	6.885638	0.027525	36.223600
0.320000	0.002069	6.885674	0.026982	36.223221
0.322000	0.002068	6.885620	0.025112	36.222724
0.324000	0.002047	6.885454	0.027252	36.222491
0.326000	0.002035	6.885417	0.029402	36.222053
0.328000	0.002033	6.885439	0.026477	36.222053
0.330000	0.002035	6.885555	0.018146	36.222053
0.332000	0.002024	6.885624	0.007344	36.221790
0.334000	0.002006	6.885558	0.002193	36.221674
0.336000	0.001989	6.885490	0.004295	36.221353
0.338000	0.001987	6.885584	0.004946	36.221090
0.340000	0.001993	6.885718	-0.000316	36.220973
0.342000	0.001989	6.885826	-0.008882	36.221061
0.344000	0.001987	6.885971	-0.015972	36.220302
0.346000	0.001986	6.885837	-0.015431	36.220098
0.348000	0.001967	6.885671	-0.006807	36.219893
0.350000	0.001951	6.885627	-0.000015	36.219251
0.352000	0.001925	6.885700	0.001588	36.218784
0.354000	0.001912	6.885808	-0.000684	36.218522
0.356000	0.001903	6.885859	-0.003941	36.218347
0.358000	0.001883	6.885924	-0.008149	36.218580
0.360000	0.001861	6.885942	-0.012177	36.218084
0.362000	0.001842	6.886072	-0.015529	36.217675
0.364000	0.001830	6.886181	-0.020695	36.217529
0.366000	0.001816	6.886170	-0.022922	36.217237
0.368000	0.001809	6.886061	-0.019164	36.216887
0.370000	0.001801	6.886144	-0.014249	36.216829
0.372000	0.001802	6.886600	-0.026017	36.216887
0.374000	0.001801	6.886871	-0.043449	36.216654
0.376000	0.001797	6.886904	-0.049775	36.216041
0.378000	0.001795	6.886893	-0.047263	36.215953
0.380000	0.001792	6.886962	-0.042890	36.215661
0.382000	0.001788	6.887146	-0.043250	36.215311
0.384000	0.001785	6.887468	-0.050763	36.215165
0.386000	0.001780	6.887834	-0.063867	36.215165
0.388000	0.001783	6.887993	-0.071640	36.215049
0.390000	0.001785	6.888080	-0.070703	36.214903
0.392000	0.001788	6.888307	-0.071143	36.214757
0.394000	0.001788	6.888702	-0.081163	36.214231
0.396000	0.001795	6.888846	-0.087329	36.213473
0.398000	0.001795	6.889056	-0.087384	36.213239
0.400000	0.001793	6.889251	-0.089923	36.213181
0.402000	0.001793	6.889295	-0.085204	36.212626
0.404000	0.001798	6.889468	-0.078321	36.212568
0.406000	0.001797	6.889747	-0.081301	36.212568
0.408000	0.001801	6.889913	-0.083510	36.212305
0.410000	0.001798	6.890123	-0.083626	36.212013
0.412000	0.001797	6.890159	-0.081407	36.211605
0.414000	0.001804	6.890275	-0.074565	36.211225
0.416000	0.001803	6.890492	-0.072888	36.210963
0.418000	0.001780	6.890561	-0.072737	36.210817
0.420000	0.001747	6.890727	-0.070728	36.210554
0.422000	0.001719	6.890836	-0.067546	36.210787
0.424000	0.001682	6.890919	-0.062387	36.210817
0.426000	0.001647	6.890980	-0.058928	36.209737
0.428000	0.001630	6.891154	-0.059392	36.209445
0.430000	0.001618	6.891237	-0.060522	36.209474
0.432000	0.001614	6.891045	-0.049549	36.209095
0.434000	0.001643	6.890890	-0.031446	36.208540
0.436000	0.001707	6.891114	-0.026816	36.208657
0.438000	0.001809	6.891262	-0.033571	36.208715
0.440000	0.001940	6.891215	-0.033983	36.208715
0.442000	0.002100	6.891139	-0.027779	36.208453
0.444000	0.002300	6.891158	-0.023750	36.207635
0.446000	0.002534	6.891230	-0.020741	36.207081
0.448000	0.002765	6.891190	-0.017689	36.206614
0.450000	0.003035	6.891096	-0.012242	36.206760
0.452000	0.003337	6.891017	-0.007003	36.206439
0.454000	0.003600	6.890955	-0.002795	36.206293
0.456000	0.003867	6.890868	0.002898	36.206439
0.458000	0.004158	6.890890	0.005843	36.206176
0.460000	0.004367	6.890933	0.003681	36.205884
0.462000	0.004428	6.890818	0.003736	36.205855
0.464000	0.004410	6.890608	0.010332	36.205592
0.466000	0.004328	6.890608	0.015409	36.205446
0.468000	0.004135	6.890579	0.014806	36.205388
0.470000	0.003858	6.890420	0.018287	36.205446
0.472000	0.003526	6.890340	0.022843	36.204834
0.474000	0.003181	6.890431	0.021053	36.205271
0.476000	0.002908	6.890572	0.011716	36.205738
0.478000	0.002620	6.890658	0.000710	36.205067
0.480000	0.002244	6.890492	-0.002276	36.205242
0.482000	0.001982	6.890416	0.004374	36.205330
0.484000	0.001831	6.890481	0.006572	36.205738
0.486000	0.001744	6.890409	0.007980	36.205009
0.488000	0.001722	6.890203	0.012438	36.204016
0.490000	0.001727	6.889997	0.021023	36.204133
0.492000	0.001763	6.889787	0.031021	36.204629
0.494000	0.001797	6.889664	0.036516	36.204250
0.496000	0.001819	6.889505	0.040480	36.204542
0.498000	0.001830	6.889342	0.045410	36.204396
0.500000	0.001838	6.889226	0.049277	36.204658
0.502000	0.001843	6.889190	0.048762	36.204863
0.504000	0.001862	6.889179	0.041108	36.204337
0.506000	0.001879	6.888796	0.042782	36.203695
0.508000	0.001879	6.888354	0.058607	36.203900
0.510000	0.001868	6.888134	0.069769	36.203462
0.512000	0.001864	6.887884	0.075509	36.203024
0.514000	0.001865	6.887472	0.084884	36.202353
0.516000	0.001856	6.886864	0.100682	36.202586
0.518000	0.001847	6.886253	0.122851	36.202528
0.520000	0.001844	6.886007	0.135557	36.202236
0.522000	0.001848	6.885830	0.133825	36.201506
0.524000	0.001848	6.885558	0.130752	36.201506
0.526000	0.001837	6.885186	0.132250	36.201185
0.528000	0.001838	6.884799	0.133673	36.200923
0.530000	0.001843	6.884415	0.136433	36.200923
0.532000	0.001848	6.883880	0.145013	36.200689
0.534000	0.001846	6.883254	0.155997	36.200193
0.536000	0.001849	6.882654	0.168587	36.199551
0.538000	0.001846	6.881945	0.183461	36.199142
0.540000	0.001850	6.880990	0.205624	36.198938
0.542000	0.001862	6.879811	0.238767	36.198646
0.544000	0.001870	6.878646	0.276538	36.198559
0.546000	0.001866	6.877406	0.312818	36.197625
0.548000	0.001858	6.875854	0.351631	36.197479
0.550000	0.001853	6.874328	0.394344	36.197566
0.552000	0.001864	6.873120	0.426475	36.196691
0.554000	0.001880	6.871955	0.444774	36.196516
0.556000	0.001885	6.870754	0.455249	36.196224
0.558000	0.001890	6.869575	0.464192	36.196253
0.560000	0.001890	6.868446	0.469953	36.195698
0.562000	0.001888	6.867296	0.472288	36.195640
0.564000	0.001882	6.866186	0.473406	36.195523
0.566000	0.001881	6.864909	0.477230	36.194881
0.568000	0.001884	6.863509	0.490840	36.194064
0.570000	0.001886	6.862146	0.504262	36.193597
0.572000	0.001879	6.860670	0.517850	36.193247
0.574000	0.001878	6.859252	0.532516	36.193013
0.576000	0.001890	6.857957	0.541613	36.193130
0.578000	0.001906	6.856612	0.545958	36.192488
0.580000	0.001919	6.855407	0.546095	36.192021
0.582000	0.001926	6.854058	0.546137	36.191642
0.584000	0.001918	6.852420	0.558558	36.191204
0.586000	0.001918	6.850788	0.575895	36.191116
0.588000	0.001922	6.849276	0.591027	36.191116
0.590000	0.001922	6.847895	0.598260	36.190445
0.592000	0.001927	6.846824	0.590850	36.190036
0.594000	0.001928	6.845674	0.576612	36.189540
0.596000	0.001932	6.844365	0.567986	36.189073
0.598000	0.001941	6.842686	0.571823	36.189103
0.600000	0.001944	6.841069	0.587405	36.188752
0.602000	0.001941	6.839800	0.595645	36.188227
0.604000	0.001940	6.838534	0.590243	36.187993
0.606000	0.001949	6.837243	0.583843	36.187614
0.608000	0.001952	6.835760	0.584383	36.187468
0.610000	0.001954	6.834436	0.586643	36.187118
0.612000	0.001964	6.833155	0.583098	36.186884
0.614000	0.001967	6.832016	0.575238	36.186534
0.616000	0.001981	6.830931	0.560668	36.186242
0.618000	0.001991	6.829629	0.554124	36.185746
0.620000	0.001991	6.828396	0.553785	36.185571
0.622000	0.001991	6.827412	0.544270	36.185542
0.624000	0.001994	6.826457	0.524767	36.185308
0.626000	0.001996	6.825393	0.507666	36.184812
0.628000	0.002002	6.824384	0.497945	36.184199
0.630000	0.002012	6.823277	0.492946	36.184287
0.632000	0.002008	6.822239	0.488138	36.183995
0.634000	0.002008	6.821346	0.477544	36.183849
0.636000	0.002014	6.820641	0.458188	36.183908
0.638000	0.002028	6.820084	0.433651	36.183353
0.640000	0.002037	6.819722	0.401031	36.182653
0.642000	0.002051	6.819396	0.365876	36.182244
0.644000	0.002061	6.819017	0.333590	36.182302
0.646000	0.002056	6.818525	0.309556	36.181952
0.648000	0.002053	6.818033	0.291841	36.181368
0.650000	0.002063	6.817801	0.271315	36.181047
0.652000	0.002064	6.817866	0.241955	36.180901
0.654000	0.002068	6.817838	0.208006	36.180464
0.656000	0.002076	6.817743	0.179734	36.179967
0.658000	0.002086	6.817653	0.156391	36.179909
0.660000	0.002103	6.817599	0.136109	36.179617
0.662000	0.002110	6.817552	0.117302	36.178946
0.664000	0.002111	6.817530	0.103159	36.178567
0.666000	0.002100	6.817526	0.087381	36.178070
0.668000	0.002101	6.817592	0.073973	36.178216
0.670000	0.002096	6.817494	0.063205	36.178129
0.672000	0.002102	6.817205	0.061866	36.177574
0.674000	0.002112	6.817056	0.065193	36.177312
0.676000	0.002128	6.816980	0.064148	36.177136
0.678000	0.002140	6.816825	0.061718	36.176845
0.680000	0.002133	6.816742	0.060581	36.176611
0.682000	0.002129	6.816760	0.054195	36.176232
0.684000	0.002127	6.816705	0.047650	36.176173
0.686000	0.002130	6.816778	0.040639	36.175502
0.688000	0.002129	6.817060	0.026027	36.175269
0.690000	0.002127	6.817259	0.007285	36.174772
0.692000	0.002133	6.817201	-0.003643	36.174481
0.694000	0.002138	6.817259	-0.004956	36.174481
0.696000	0.002137	6.817385	-0.007614	36.174335
0.698000	0.002148	6.817523	-0.012431	36.174072
0.700000	0.002151	6.817715	-0.020787	36.173897
0.702000	0.002152	6.817924	-0.029700	36.173196
0.704000	0.002150	6.818062	-0.035727	36.173021
0.706000	0.002150	6.818065	-0.035971	36.172642
0.708000	0.002161	6.818199	-0.036946	36.172583
0.710000	0.002170	6.818510	-0.045992	36.172467
0.712000	0.002175	6.818814	-0.056547	36.172321
0.714000	0.002171	6.819237	-0.069434	36.171854
0.716000	0.002166	6.819628	-0.086270	36.171533
0.718000	0.002168	6.820022	-0.099020	36.171124
0.720000	0.002157	6.820438	-0.109650	36.170862
0.722000	0.002155	6.820861	-0.119630	36.170920
0.724000	0.002156	6.821306	-0.130270	36.170832
0.726000	0.002149	6.821795	-0.141015	36.170161
0.728000	0.002148	6.822341	-0.151935	36.169898
0.730000	0.002152	6.822890	-0.163701	36.169957
0.732000	0.002141	6.823386	-0.172344	36.170103
0.734000	0.002118	6.823892	-0.179508	36.169694
0.736000	0.002096	6.824522	-0.188766	36.169227
0.738000	0.002081	6.825231	-0.201993	36.168994
0.740000	0.002072	6.825853	-0.215674	36.168994
0.742000	0.002057	6.826417	-0.222849	36.168819
0.744000	0.002052	6.826905	-0.223581	36.168439
0.746000	0.002027	6.827437	-0.222934	36.168060
0.748000	0.002005	6.827976	-0.224233	36.168060
0.750000	0.002000	6.828450	-0.223269	36.168060
0.752000	0.001995	6.828938	-0.218448	36.168031
0.754000	0.001984	6.829596	-0.219597	36.167710
0.756000	0.001984	6.830475	-0.236163	36.167359
0.758000	0.001969	6.831242	-0.252259	36.166980
0.760000	0.001957	6.831868	-0.257643	36.166776
0.762000	0.001949	6.832674	-0.263996	36.167067
0.764000	0.001949	6.833680	-0.280176	36.166834
0.766000	0.001945	6.834602	-0.300954	36.166630
0.768000	0.001933	6.835181	-0.308489	36.166630
0.770000	0.001927	6.835695	-0.302270	36.166600
0.772000	0.001931	6.836364	-0.296032	36.166250
0.774000	0.001919	6.836845	-0.288356	36.165929
0.776000	0.001924	6.837087	-0.272932	36.165842
0.778000	0.001924	6.837178	-0.247284	36.166046
0.780000	0.001925	6.837160	-0.214441	36.165958
0.782000	0.001923	6.837141	-0.183100	36.165579
0.784000	0.001912	6.836805	-0.148430	36.165112
0.786000	0.001914	6.836563	-0.107732	36.165024
0.788000	0.001914	6.836436	-0.075755	36.164879
0.790000	0.001908	6.836284	-0.051893	36.164791
0.792000	0.001912	6.836349	-0.038199	36.164879
0.794000	0.001920	6.836595	-0.037765	36.164849
0.796000	0.001921	6.836718	-0.044590	36.165054
0.798000	0.001920	6.836812	-0.047968	36.164703
0.800000	0.001925	6.837008	-0.050976	36.164324
0.802000	0.001928	6.837109	-0.051101	36.163828
0.804000	0.001919	6.837217	-0.050131	36.163857
0.806000	0.001925	6.837290	-0.050888	36.163711
0.808000	0.001925	6.837322	-0.048296	36.163361
0.810000	0.001922	6.837358	-0.041935	36.162981
0.812000	0.001921	6.837228	-0.033370	36.162719
0.814000	0.001923	6.837170	-0.023316	36.162806
0.816000	0.001922	6.837058	-0.016407	36.162719
0.818000	0.001922	6.836859	-0.008372	36.161989
0.820000	0.001934	6.836754	0.001407	36.162047
0.822000	0.001935	6.836751	0.007616	36.161902
0.824000	0.001930	6.836660	0.008541	36.162310
0.826000	0.001927	6.836718	0.007607	36.162252
0.828000	0.001934	6.836935	0.000399	36.161493
0.830000	0.001940	6.837022	-0.007664	36.160909
0.832000	0.001938	6.836924	-0.007001	36.160938
0.834000	0.001938	6.836776	-0.003174	36.160851
0.836000	0.001930	6.836461	0.009134	36.160617
0.838000	0.001928	6.836190	0.025743	36.160092
0.840000	0.001929	6.836049	0.035374	36.160063
0.842000	0.001926	6.835922	0.040394	36.160326
0.844000	0.001926	6.835785	0.047061	36.159683
0.846000	0.001916	6.835604	0.050701	36.159596
0.848000	0.001918	6.835290	0.055593	36.159596
0.850000	0.001927	6.835033	0.062551	36.159713
0.852000	0.001923	6.834953	0.062781	36.159246
0.854000	0.001915	6.834805	0.061015	36.158925
0.856000	0.001908	6.834421	0.067627	36.158662
0.858000	0.001914	6.834201	0.076717	36.158604
0.860000	0.001914	6.834100	0.076689	36.158283
0.862000	0.001906	6.833955	0.072764	36.157582
0.864000	0.001905	6.833886	0.071017	36.157524
0.866000	0.001906	6.833593	0.072459	36.157524
0.868000	0.001912	6.833318	0.077337	36.157407
0.870000	0.001909	6.833141	0.079470	36.157057
0.872000	0.001904	6.833090	0.077784	36.156882
0.874000	0.001901	6.833134	0.068977	36.156765
0.876000	0.001897	6.833061	0.058807	36.156327
0.878000	0.001896	6.833033	0.051880	36.156415
0.880000	0.001903	6.832881	0.047855	36.156123
0.882000	0.001898	6.832711	0.048693	36.156269
0.884000	0.001890	6.832693	0.047025	36.156181
0.886000	0.001888	6.832627	0.043563	36.156327
0.888000	0.001892	6.832696	0.037529	36.155948
0.890000	0.001895	6.832949	0.022879	36.155656
0.892000	0.001888	6.833311	0.002075	36.155189
0.894000	0.001888	6.833550	-0.017829	36.154226
0.896000	0.001894	6.833662	-0.029882	36.154722
0.898000	0.001896	6.833807	-0.034647	36.154664
0.900000	0.001898	6.834067	-0.039808	36.154138
0.902000	0.001894	6.834251	-0.047812	36.153963
0.904000	0.001886	6.834530	-0.057535	36.153671
0.906000	0.001874	6.834978	-0.071922	36.153350
0.908000	0.001870	6.835488	-0.089406	36.153409
0.910000	0.001872	6.836038	-0.109770	36.152854
0.912000	0.001866	6.836454	-0.125900	36.152329
0.914000	0.001870	6.836664	-0.129904	36.152066
0.916000	0.001876	6.837055	-0.130330	36.152095
0.918000	0.001876	6.837615	-0.140309	36.152124
0.920000	0.001873	6.838223	-0.154656	36.151657
0.922000	0.001874	6.838726	-0.167673	36.151482
0.924000	0.001865	6.839033	-0.171112	36.151424
0.926000	0.001860	6.839492	-0.172204	36.151074
0.928000	0.001860	6.840057	-0.179944	36.150899
0.930000	0.001863	6.840447	-0.186034	36.150636
0.932000	0.001859	6.840834	-0.183736	36.149556
0.934000	0.001857	6.841283	-0.182311	36.149877
0.936000	0.001853	6.841757	-0.183427	36.150257
0.938000	0.001844	6.842296	-0.187444	36.149498
0.940000	0.001850	6.842802	-0.193207	36.149177
0.942000	0.001852	6.843232	-0.197725	36.149323
