sample_index,timestamp_rel_s,timestamp_utc_iso,participant_id,session_id,task_id,trial_id,condition,combined_valid,combined_origin_x,combined_origin_y,combined_origin_z,combined_dir_x,combined_dir_y,combined_dir_z,vergence_angle_deg,interocular_distance,left_valid,left_origin_x,left_origin_y,left_origin_z,left_dir_x,left_dir_y,left_dir_z,right_valid,right_origin_x,right_origin_y,right_origin_z,right_dir_x,right_dir_y,right_dir_z,left_pupil_diameter,right_pupil_diameter,left_pupil_pos_x,left_pupil_pos_y,right_pupil_pos_x,right_pupil_pos_y,left_eye_openness,right_eye_openness,head_x,head_y,head_z,head_qx,head_qy,head_qz,head_qw,hit_valid,hit_object_name,hit_aoi,hit_aoi_type,hit_x,hit_y,hit_z
1,4.69355900000005,"2026-04-29T15:59:03.5932113Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,1.36144,-0.7,0,0,0,1,0,,,,,,
2,5.35374650000006,"2026-04-29T15:59:04.2431193Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,0,0,-0.7,0,0,0,1,0,,,,,,
3,5.36797939999997,"2026-04-29T15:59:04.2580172Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.09118877,1.312086,0.2858428,0.2302382,0.02648976,0.0804795,0.9694389,0,,,,,,
4,5.39032670000006,"2026-04-29T15:59:04.2795899Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.0916435,1.310574,0.2873155,0.2212054,0.02724732,0.07547539,0.9719204,0,,,,,,
5,5.40043470000001,"2026-04-29T15:59:04.2903825Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.0915654,1.310376,0.288013,0.2183753,0.02640657,0.07347298,0.9727367,0,,,,,,
6,5.40952289999996,"2026-04-29T15:59:04.2996154Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.0913379,1.310211,0.2887266,0.2152693,0.0246862,0.07200827,0.9735833,0,,,,,,
7,5.42023860000006,"2026-04-29T15:59:04.3098577Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.09130275,1.309883,0.2895532,0.2122696,0.02324579,0.06943695,0.9744639,0,,,,,,
8,5.43195209999999,"2026-04-29T15:59:04.3211280Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.09095963,1.309536,0.2904422,0.2090355,0.02196258,0.06643313,0.9754018,0,,,,,,
9,5.44247289999998,"2026-04-29T15:59:04.3323834Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.0904217,1.309657,0.2907364,0.2103453,0.01967975,0.0662883,0.9751787,0,,,,,,
10,5.45612649999998,"2026-04-29T15:59:04.3460089Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.09021371,1.309334,0.2916076,0.2096917,0.0186325,0.06445187,0.9754631,0,,,,,,
11,5.46466350000003,"2026-04-29T15:59:04.3542720Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.08981619,1.309169,0.2925879,0.2088828,0.01837651,0.06135468,0.9758411,0,,,,,,
12,5.47620470000004,"2026-04-29T15:59:04.3655788Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.08940245,1.308981,0.2934662,0.2082025,0.01756235,0.06219555,0.9759483,0,,,,,,
13,5.4873225,"2026-04-29T15:59:04.3769024Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.08914125,1.308731,0.2944373,0.2105997,0.01739629,0.0614212,0.9754859,0,,,,,,
14,5.49923920000003,"2026-04-29T15:59:04.3886936Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.08856584,1.30852,0.2951489,0.2127937,0.01675561,0.06159196,0.97501,0,,,,,,
15,5.5091923,"2026-04-29T15:59:04.3984271Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.08789683,1.30827,0.2963043,0.2145831,0.01629536,0.06021143,0.9747118,0,,,,,,
16,5.52199610000002,"2026-04-29T15:59:04.4118622Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.0873839,1.307834,0.2969852,0.2173458,0.01356444,0.06137757,0.9740686,0,,,,,,
17,5.53161139999997,"2026-04-29T15:59:04.4211919Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.08667367,1.307439,0.2977257,0.2202693,0.01147135,0.06121901,0.9734486,0,,,,,,
18,5.54271010000002,"2026-04-29T15:59:04.4325034Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.08599247,1.307104,0.2983636,0.2228218,0.009087073,0.06174964,0.9728591,0,,,,,,
19,5.55294700000002,"2026-04-29T15:59:04.4423970Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.08535753,1.306603,0.2991785,0.225578,0.006233588,0.06182823,0.9722412,0,,,,,,
20,5.5648837,"2026-04-29T15:59:04.4544247Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.08430923,1.30619,0.3002082,0.2289118,0.003294336,0.06176172,0.9714804,0,,,,,,
21,5.57896170000004,"2026-04-29T15:59:04.4688239Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.08342347,1.305872,0.301185,0.2313358,0.0008590647,0.06215758,0.9708859,0,,,,,,
22,5.58702489999996,"2026-04-29T15:59:04.4767903Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.08298995,1.305447,0.3020753,0.2327973,-0.0009020545,0.06235361,0.9705239,0,,,,,,
23,5.59737250000001,"2026-04-29T15:59:04.4869471Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.08212057,1.30502,0.3032331,0.2352069,-0.003405416,0.0621811,0.9699483,0,,,,,,
24,5.60934929999996,"2026-04-29T15:59:04.4992231Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.08121435,1.304604,0.3043593,0.2373919,-0.006034849,0.06245134,0.9693857,0,,,,,,
25,5.62189469999998,"2026-04-29T15:59:04.5115357Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.08030637,1.303939,0.3056743,0.2399451,-0.009668805,0.06207568,0.9687515,0,,,,,,
26,5.63229450000006,"2026-04-29T15:59:04.5208392Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.07924764,1.303385,0.306658,0.2421166,-0.01245956,0.062273,0.9681665,0,,,,,,
27,5.64360529999999,"2026-04-29T15:59:04.5327100Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.07847907,1.302992,0.3073084,0.2436278,-0.01471077,0.0622609,0.9677565,0,,,,,,
28,5.65318620000005,"2026-04-29T15:59:04.5426887Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.07751267,1.302312,0.3085145,0.2461936,-0.01832992,0.06219338,0.9670495,0,,,,,,
29,5.66541730000006,"2026-04-29T15:59:04.5538669Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.07649718,1.301689,0.3096848,0.2478506,-0.02095891,0.06208643,0.9665796,0,,,,,,
30,5.67545429999996,"2026-04-29T15:59:04.5649256Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.07576875,1.301211,0.3106667,0.2488623,-0.02276232,0.0622957,0.9662653,0,,,,,,
31,5.68742029999999,"2026-04-29T15:59:04.5763127Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.07485216,1.300424,0.3122339,0.2503021,-0.02557853,0.06204626,0.965839,0,,,,,,
32,5.69950440000002,"2026-04-29T15:59:04.5886921Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.07396141,1.299992,0.3133329,0.25093,-0.02747422,0.06195272,0.96563,0,,,,,,
33,5.71025510000004,"2026-04-29T15:59:04.5988933Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.0730324,1.299557,0.3146082,0.2517404,-0.02952471,0.06183169,0.9653662,0,,,,,,
34,5.72249290000002,"2026-04-29T15:59:04.6114673Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.07212295,1.298999,0.3162895,0.2524474,-0.03201739,0.06136826,0.9651317,0,,,,,,
35,5.73171950000005,"2026-04-29T15:59:04.6212398Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.07137255,1.298814,0.3174228,0.2522434,-0.03349188,0.06125506,0.9651421,0,,,,,,
36,5.74271629999998,"2026-04-29T15:59:04.6317934Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.07033352,1.298552,0.3189389,0.2521557,-0.03532388,0.0609216,0.9651209,0,,,,,,
37,5.75384499999996,"2026-04-29T15:59:04.6423857Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.0693526,1.298205,0.3207728,0.2518886,-0.03729936,0.06079657,0.9651242,0,,,,,,
38,5.76451069999996,"2026-04-29T15:59:04.6541965Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.06848039,1.298167,0.3218673,0.251117,-0.03851185,0.0607416,0.9652811,0,,,,,,
39,5.77622329999997,"2026-04-29T15:59:04.6651674Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.06723171,1.297999,0.3236217,0.2502554,-0.04027988,0.06042811,0.9654524,0,,,,,,
40,5.78735700000004,"2026-04-29T15:59:04.6770390Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.06643668,1.297867,0.3253606,0.2491247,-0.04168521,0.06027034,0.965695,0,,,,,,
41,5.79801259999999,"2026-04-29T15:59:04.6877120Z","P001","S001","task_01","trial_01","baseline",0,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,-0.06552456,1.297792,0.326923,0.2480128,-0.0430754,0.0600993,0.9659308,0,,,,,,
