video_name,video_path,session_folder,frame,time_s,person_id,nose_x,nose_y,nose_conf,left_eye_x,left_eye_y,left_eye_conf,right_eye_x,right_eye_y,right_eye_conf,left_ear_x,left_ear_y,left_ear_conf,right_ear_x,right_ear_y,right_ear_conf,left_shoulder_x,left_shoulder_y,left_shoulder_conf,right_shoulder_x,right_shoulder_y,right_shoulder_conf,left_elbow_x,left_elbow_y,left_elbow_conf,right_elbow_x,right_elbow_y,right_elbow_conf,left_wrist_x,left_wrist_y,left_wrist_conf,right_wrist_x,right_wrist_y,right_wrist_conf,left_hip_x,left_hip_y,left_hip_conf,right_hip_x,right_hip_y,right_hip_conf,left_knee_x,left_knee_y,left_knee_conf,right_knee_x,right_knee_y,right_knee_conf,left_ankle_x,left_ankle_y,left_ankle_conf,right_ankle_x,right_ankle_y,right_ankle_conf
Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,0,0.0,0,320.8273,474.61282,0.17468,313.6396,460.6635,0.06357845,322.94135,455.73517,0.08340596,273.31952,470.6695,0.74065834,345.4663,461.1518,0.90454507,250.56143,561.2993,0.98143893,407.08887,532.32117,0.98302275,242.5726,679.9355,0.6981103,455.95068,618.8179,0.76870996,281.6605,655.98914,0.33095908,396.37433,601.5628,0.42679727,305.59103,718.73987,0.52502114,418.42432,708.08,0.5876836,274.7256,677.467,0.06951651,420.43176,661.62537,0.089360446,250.61064,695.4389,0.017860603,423.95844,687.50464,0.020524826
Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,1,0.033331373513735135,0,310.73016,475.4979,0.17071508,305.55463,461.17102,0.08541421,315.1788,456.78162,0.06472634,275.31058,471.11554,0.8418284,349.03857,461.7497,0.8547177,253.88821,561.0409,0.98106074,411.96857,533.18,0.98292416,240.12988,676.83154,0.7189712,459.52106,620.28265,0.77151495,277.00342,650.7836,0.36612168,400.4831,603.5844,0.43827885,305.6881,717.8615,0.53234047,419.07758,706.99005,0.594076,274.2822,673.0484,0.07415269,417.04663,657.0829,0.0954155,253.74844,694.394,0.0196432,425.353,685.1345,0.023438666
Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,2,0.06666274702747027,0,314.79077,474.68958,0.17052668,309.2606,460.4905,0.07949333,318.60995,455.9862,0.06860083,276.5033,470.5649,0.8263149,349.6247,461.33582,0.86957055,254.06445,560.70374,0.98133284,412.12857,532.8858,0.98354554,241.08087,676.74744,0.71571255,459.97922,619.6271,0.77746373,279.6312,654.3264,0.35861686,402.31506,605.6662,0.4412822,306.15665,718.087,0.5357399,419.4724,707.4535,0.5999206,276.2439,674.7982,0.072254635,418.8849,659.1539,0.09382477,254.87363,693.8727,0.01888395,425.15793,685.3196,0.022505313
Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,3,0.0999941205412054,0,313.98517,472.1905,0.18289281,309.08676,457.98413,0.09432065,318.62466,453.8946,0.06876442,279.5136,468.4059,0.84996974,352.81622,459.79565,0.8483833,257.13818,558.695,0.9807082,414.25708,532.44495,0.98289675,241.51016,675.0598,0.72034496,463.1289,619.7835,0.7721739,279.63782,651.72485,0.37106392,402.33405,601.1487,0.44085702,306.10995,717.9541,0.53233457,418.7139,707.6781,0.593571,276.10907,672.5036,0.074627005,416.61884,657.9744,0.09565984,255.75568,694.73285,0.01992553,426.34445,686.4228,0.02377911
Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,4,0.13332549405494054,0,314.50888,473.8168,0.19675235,309.6854,459.55603,0.103916034,319.64395,455.58725,0.07289882,281.43442,469.19736,0.85776985,355.2702,460.6434,0.8441325,259.14062,558.53046,0.9807381,416.19702,532.97974,0.9837623,244.16953,674.8101,0.72644705,467.0435,620.941,0.78493124,282.717,652.8688,0.38786376,406.61105,602.54034,0.46335682,307.64948,717.88995,0.5353197,420.17426,707.82227,0.60083973,277.41095,669.2754,0.07668758,417.14227,655.06775,0.099545926,258.25375,692.55115,0.02072544,429.38217,683.7619,0.025078215
Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,5,0.16665686756867568,0,318.22586,474.2384,0.2058367,313.2716,460.0066,0.102965444,322.70703,455.98315,0.080341265,283.46777,469.0962,0.8465758,355.85965,460.6526,0.85788804,260.12637,558.198,0.98110205,416.875,532.54016,0.9845013,245.45233,674.6744,0.7268181,468.19913,620.65643,0.7928297,283.82983,656.3012,0.38573956,407.04877,606.4808,0.47065267,308.04422,718.147,0.54016304,420.20508,708.0363,0.6085402,278.4781,673.9574,0.0737145,417.89227,659.6194,0.09663792,258.9224,692.6048,0.019320622,428.2926,684.2325,0.023392716
Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,6,0.1999882410824108,0,321.75568,475.06366,0.22652444,316.74725,460.42722,0.113775805,326.09387,456.53198,0.09293328,286.83582,468.05432,0.8405461,358.44153,459.93665,0.8599672,261.87198,557.8552,0.9787133,419.8418,532.296,0.983383,248.01862,675.6867,0.695929,468.89096,621.6955,0.7786093,288.7187,658.0992,0.35913545,405.49072,608.8467,0.45471433,308.5012,718.6546,0.49887937,421.37018,708.5671,0.5736994,280.969,675.0686,0.067112856,419.3412,660.5862,0.08967269,262.67032,692.1421,0.018532144,427.19092,683.9435,0.022665491
Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,7,0.23331961459614595,0,327.43777,474.43427,0.20795327,322.0633,460.02905,0.09870465,331.3866,456.02014,0.08502323,289.9641,468.3416,0.8254401,361.88657,460.27374,0.8628475,264.20746,556.87787,0.9796612,422.19125,531.6702,0.9831255,249.70143,675.1239,0.7145746,471.35437,622.2137,0.78102106,289.6931,652.19476,0.3765151,412.11752,604.47723,0.46007943,310.67603,716.90546,0.51737726,423.64093,707.1726,0.582307,281.2989,671.9587,0.07098761,421.60437,657.9187,0.09122245,262.74066,691.7265,0.018980216,429.1954,684.1511,0.02246778
Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,8,0.2666509881098811,0,335.2428,473.10123,0.20666005,328.58704,459.0395,0.08447848,338.16937,454.7301,0.09267696,290.75598,467.88232,0.77388144,362.89615,459.76898,0.883329,263.94574,557.09204,0.9799509,422.17218,531.1127,0.9823285,252.46475,675.28546,0.71832746,471.84244,618.5979,0.777219,294.1355,654.6442,0.3791898,409.79858,599.64716,0.46151996,311.74347,716.1875,0.5213206,424.8569,706.6314,0.57795024,285.91348,670.59814,0.071828485,425.5371,656.88354,0.08939966,265.2458,690.5777,0.018910304,429.13336,683.6726,0.021509215
Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,/home/nicolas/OneDrive/CPS-RTC/Extended Reality Exp (XR)/xr-data-analysis/data/pre-piloto/29_04_2026/29_04_2026/Exp/Setup Video 3 4_29_2026 12_06_04 PM 2.mp4,pre-piloto/29_04_2026/29_04_2026/Exp,9,0.29998236162361624,0,332.60052,470.07068,0.20198219,326.9079,455.91403,0.09254404,336.3816,451.77893,0.08331883,293.954,465.72745,0.81437457,366.23734,457.508,0.86777294,268.2953,556.89453,0.9799265,424.7903,530.9995,0.9830866,253.37105,673.10547,0.7242921,474.20706,617.6765,0.78450596,290.6557,649.076,0.3900552,412.5224,596.5725,0.4707299,312.304,717.38324,0.52194977,423.8397,707.5999,0.5828668,288.8935,671.9155,0.069366835,425.2774,658.1871,0.088194,268.53967,690.62195,0.017938796,430.59738,683.3258,0.02101097
